"clave_mun","mun","ageb","indice","pob3mas","pob12mas","sin_disc","escolaridad","ocupados","salud","fecundidad","hacinamiento","piso","energia","agua","tinaco","escusado","drenaje","refri","lavadora","auto","celular","internet"
120,"Zapopan","7417",-0.231506783729729,274,221,0.916058394160584,8.13,0.633484162895928,0.532846715328467,2.16,1.06,0.966666666666667,1,0.816666666666667,0.883333333333333,1,1,0.933333333333333,0.8,0.816666666666667,0.966666666666667,0.383333333333333
120,"Zapopan","0161",-0.192322659441376,2594,2073,0.965304548959136,10.27,0.701881331403763,0.749421742482652,1.64,0.99,0.992332968236583,1,0.997809419496167,0.127053669222344,0.99671412924425,0.991237677984666,0.877327491785323,0.652792990142388,0.340635268346112,0.963855421686747,0.534501642935378
120,"Zapopan","0176",-0.0709895980189038,4421,3506,0.989821307396517,10.2,0.739874500855676,0.768152001809545,1.6,1.01,0.996153846153846,0.998717948717949,1,0.101282051282051,0.999358974358974,0.999358974358974,0.939102564102564,0.703205128205128,0.323717948717949,0.966025641025641,0.516025641025641
120,"Zapopan","0180",-0.193093334910774,2274,1837,0.95910290237467,10.07,0.685900925421884,0.804749340369393,1.7,1.02,0.988431876606684,1,1,0.188946015424165,0.997429305912596,0.993573264781491,0.902313624678663,0.6426735218509,0.358611825192802,0.965295629820051,0.467866323907455
120,"Zapopan","0208",-0.177298799867697,1042,852,0.929942418426104,8.95,0.651408450704225,0.630518234165067,2.06,1.18,0.929577464788732,0.996478873239437,1,0.697183098591549,1,0.996478873239437,0.929577464788732,0.799295774647887,0.51056338028169,0.96830985915493,0.461267605633803
120,"Zapopan","0284",0.832838380954884,1068,893,1.00936329588015,13.55,0.660694288913774,0.846441947565543,1.42,0.66,0.994152046783626,1,0.997076023391813,0.584795321637427,1,0.997076023391813,0.994152046783626,0.961988304093567,0.827485380116959,0.991228070175439,0.912280701754386
120,"Zapopan","0299",-0.3862363068492,777,643,0.862290862290862,8.86,0.606531881804043,0.628056628056628,2.04,1.11,0.920560747663551,0.976635514018692,0.97196261682243,0.724299065420561,0.97196261682243,0.976635514018692,0.929906542056075,0.742990654205608,0.565420560747664,0.948598130841122,0.378504672897196
120,"Zapopan","5980",-0.00416033355230232,2674,2201,0.93979057591623,9.12,0.61608359836438,0.68661181750187,2.26,1.09,0.979233226837061,0.996805111821086,0.988817891373802,0.929712460063898,0.998402555910543,1,0.960063897763578,0.864217252396166,0.560702875399361,0.9185303514377,0.571884984025559
120,"Zapopan","5995",-0.250371516823965,1195,952,0.853556485355649,8.57,0.682773109243697,0.610878661087866,2.29,1.26,0.968871595330739,1,1,0.859922178988327,0.988326848249027,0.992217898832685,0.941634241245136,0.793774319066148,0.501945525291829,0.894941634241245,0.490272373540856
120,"Zapopan","504A",-7.26353756649663,90,73,0.944444444444444,6.11,0.780821917808219,0.8,2.89,1.58,0.0578034682080925,0.0578034682080925,0.0578034682080925,0.0491329479768786,0.0520231213872832,0.0578034682080925,0.046242774566474,0.0346820809248555,0.0202312138728324,0.0375722543352601,0.0144508670520231
120,"Zapopan","5054",-4.71103039710268,824,646,0.911407766990291,7.12,0.715170278637771,0.611650485436893,2.68,1.4,0.409799554565702,0.416481069042316,0.412026726057906,0.349665924276169,0.405345211581292,0.414253897550111,0.385300668151448,0.307349665924276,0.191536748329621,0.338530066815145,0.126948775055679
120,"Zapopan","6461",NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"Zapopan","2026",-0.0436106084799473,3436,2860,0.935389988358556,8.81,0.622727272727273,0.589057043073341,2.4,1.16,0.986873508353222,0.998806682577566,0.998806682577566,0.850835322195704,0.996420047732697,0.998806682577566,0.966587112171838,0.873508353221957,0.497613365155131,0.947494033412888,0.649164677804296
120,"Zapopan","2045",0.797631425129354,2462,2017,0.96872461413485,13,0.747149231531978,0.807879772542648,1.51,0.85,0.997422680412371,1,1,0.969072164948454,1,1,0.994845360824742,0.948453608247423,0.84020618556701,0.984536082474227,0.86340206185567
120,"Zapopan","205A",0.238165163287035,3880,3255,0.887886597938144,10.74,0.650384024577573,0.765721649484536,1.95,0.93,0.989314336598397,0.998219056099733,0.996438112199466,0.777382012466607,0.998219056099733,0.998219056099733,0.975957257346394,0.896705253784506,0.61086375779163,0.945681211041852,0.723953695458593
120,"Zapopan","2079",-0.437361123066385,1915,1520,0.881984334203655,7.83,0.624342105263158,0.573890339425587,2.34,1.29,0.951754385964912,0.984649122807018,0.978070175438597,0.699561403508772,0.984649122807018,0.986842105263158,0.947368421052632,0.787280701754386,0.453947368421053,0.923245614035088,0.385964912280702
120,"Zapopan","3823",0.0344721252744714,4532,3644,0.896954986760812,9.16,0.656970362239298,0.657546337157988,2.12,1.13,0.986099044309296,0.999131190269331,0.999131190269331,0.801042571676803,1,1,0.955690703735882,0.82884448305821,0.545612510860122,0.96611642050391,0.711555169417897
120,"Zapopan","3838",0.276667987024952,2764,2308,0.918596237337192,11.54,0.648613518197574,0.835745296671491,1.7,1.06,0.99639855942377,1,1,0.31452581032413,1,1,0.983193277310924,0.912364945978391,0.597839135654262,0.963985594237695,0.807923169267707
